# EHPower estimated for Planck15 cosmology at a=0.01 with nbodykit
# k, P(k)
1.205148377093311724e-03 7.736361358744455741e-01
1.216305081813094050e-03 7.802789833701103683e-01
1.227565070130621702e-03 7.869745512685371036e-01
1.238929298197541254e-03 7.937231587723138082e-01
1.250398731017104276e-03 8.005251247664939562e-01
1.261974342526115019e-03 8.073807677587435672e-01
1.273657115677636394e-03 8.142904058182007798e-01
1.285448042524451641e-03 8.212543565130281387e-01
1.297348124303307699e-03 8.282729368466554831e-01
1.309358371519941380e-03 8.353464631927006723e-01
1.321479804034877709e-03 8.424752512285370587e-01
1.333713451150042280e-03 8.496596158675255861e-01
1.346060351696157275e-03 8.568998711898655474e-01
1.358521554120957356e-03 8.641963303720769929e-01
1.371098116578223919e-03 8.715493056150990236e-01
1.383791107017631403e-03 8.789591080709708848e-01
1.396601603275437553e-03 8.864260477681169537e-01
1.409530693166011553e-03 8.939504335352029818e-01
1.422579474574199804e-03 9.015325729235487140e-01
1.435749055548557127e-03 9.091727721281063213e-01
1.449040554395442711e-03 9.168713359069813329e-01
1.462455099773972596e-03 9.246285674994781933e-01
1.475993830791865304e-03 9.324447685426786592e-01
1.489657897102175232e-03 9.403202389865344957e-01
1.503448459000905103e-03 9.482552770074549331e-01
1.517366687525546071e-03 9.562501789204063130e-01
1.531413764554507076e-03 9.643052390894819581e-01
1.545590882907478363e-03 9.724207498369642488e-01
1.559899246446726966e-03 9.805970013508571448e-01
1.574340070179313343e-03 9.888342815908692796e-01
1.588914580360270340e-03 9.971328761928757167e-01
1.603624014596735387e-03 1.005493068371812626e+00
1.618469621953033981e-03 1.013915138823023643e+00
1.633452663056750211e-03 1.022399365622042700e+00
1.648574410205778072e-03 1.030946024122816773e+00
1.663836147476349192e-03 1.039555386854343011e+00
1.679239170832083844e-03 1.048227723415748436e+00
1.694784788234027489e-03 1.056963300369770264e+00
1.710474319751721867e-03 1.065762381134669479e+00
1.726309097675306301e-03 1.074625225874551893e+00
1.742290466628638361e-03 1.083552091388096938e+00
1.758419783683479653e-03 1.092543230995700609e+00
1.774698418474738486e-03 1.101598894425034336e+00
1.791127753316762265e-03 1.110719327694993597e+00
1.807709183320723410e-03 1.119904772998068010e+00
1.824444116513092295e-03 1.129155468581122035e+00
1.841333973955187669e-03 1.138471648624566512e+00
1.858380189863862450e-03 1.147853543119967901e+00
1.875584211733278281e-03 1.157301377746042359e+00
1.892947500457826298e-03 1.166815373743084416e+00
1.910471530456186529e-03 1.176395747785810686e+00
1.928157789796516820e-03 1.186042711854620402e+00
1.946007780322820280e-03 1.195756473105287876e+00
