# EHPower estimated for Planck15 cosmology at a=1.00 with nbodykit
# k, P(k)
6.499896678749540312e-04 2.508107851947493600e+03
6.560069707508704153e-04 2.530238744325387870e+03
6.620799790259492739e-04 2.552559664574186172e+03
6.682092083949404222e-04 2.575072113653498491e+03
6.743951793266547050e-04 2.597777601191362919e+03
6.806384171081621484e-04 2.620677645455271886e+03
6.869394518893988562e-04 2.643773773320807777e+03
6.932988187281809156e-04 2.667067520237805184e+03
6.997170576356415757e-04 2.690560430194010678e+03
7.061947136220889879e-04 2.714254055676187363e+03
7.127323367432815806e-04 2.738149957628540506e+03
7.193304821471389584e-04 2.762249705408510181e+03
7.259897101208849643e-04 2.786554876739780411e+03
7.327105861386204108e-04 2.811067057662474781e+03
7.394936809093429365e-04 2.835787842480492145e+03
7.463395704254118185e-04 2.860718833705907400e+03
7.532488360114541646e-04 2.885861642000348638e+03
7.602220643737306978e-04 2.911217886113334771e+03
7.672598476499591829e-04 2.936789192817479488e+03
7.743627834595910499e-04 2.962577196840476518e+03
7.815314749545617052e-04 2.988583540793849352e+03
7.887665308705088920e-04 3.014809875098359953e+03
7.960685655784634392e-04 3.041257857906024583e+03
8.034381991370131548e-04 3.067929155018623078e+03
8.108760573449658865e-04 3.094825439802753408e+03
8.183827717944844272e-04 3.121948393101192323e+03
8.259589799247138648e-04 3.149299703140610291e+03
8.336053250759202417e-04 3.176881065435562959e+03
8.413224565441147209e-04 3.204694182688615001e+03
8.491110296361879762e-04 3.232740764686579041e+03
8.569717057255578450e-04 3.261022528192797836e+03
8.649051523083332773e-04 3.289541196835369192e+03
8.729120430599900289e-04 3.318298500991246328e+03
8.809930578925786971e-04 3.347296177666135918e+03
8.891488830124632571e-04 3.376535970370163341e+03
8.973802109785850023e-04 3.406019628989103239e+03
9.056877407612748745e-04 3.435748909651269514e+03
9.140721778016095214e-04 3.465725574589848748e+03
9.225342340713093463e-04 3.495951392000645228e+03
9.310746281331985005e-04 3.526428135895180276e+03
9.396940852022255160e-04 3.557157585949044915e+03
9.483933372070394840e-04 3.588141527345396298e+03
9.571731228521456305e-04 3.619381750613577879e+03
9.660341876806356276e-04 3.650880051462752817e+03
9.749772841374906894e-04 3.682638230610426490e+03
9.840031716334782675e-04 3.714658093605861723e+03
9.931126166096405049e-04 3.746941450648240789e+03
1.002306392602375640e-03 3.779490116399500948e+03
1.011585280309120925e-03 3.812305909791775775e+03
1.020950067654649096e-03 3.845390653829351777e+03
1.030401549857974056e-03 3.878746175385061633e+03
1.039940529499882140e-03 3.912374304991017198e+03
1.049567816591076607e-03 3.946276876623606313e+03
1.059284228640964415e-03 3.980455727482663406e+03
1.069090590727078335e-03 4.014912697764763379e+03
1.078987735565132677e-03 4.049649630430482375e+03
1.088976503579741021e-03 4.084668370965623126e+03
1.099057742975775593e-03 4.119970767136263930e+03
1.109232309810395797e-03 4.155558668737547123e+03
1.119501068065744190e-03 4.191433927336208399e+03
1.129864889722306635e-03 4.227598396006596886e+03
1.140324654832958976e-03 4.264053929060280097e+03
1.150881251597702390e-03 4.300802381769045496e+03
1.161535576439078326e-03 4.337845610081227278e+03
1.172288534078292071e-03 4.375185470331282886e+03
1.183141037612042137e-03 4.412823818942607431e+03
1.194094008590047221e-03 4.450762512123318629e+03
1.205148377093311724e-03 4.489003405555180507e+03
1.216305081813094050e-03 4.527548354075348470e+03
1.227565070130621702e-03 4.566399211351024860e+03
1.238929298197541254e-03 4.605557829546860376e+03
1.250398731017104276e-03 4.645026058985022246e+03
1.261974342526115019e-03 4.684805747797895492e+03
1.273657115677636394e-03 4.724898741573319057e+03
1.285448042524451641e-03 4.765306882992234932e+03
1.297348124303307699e-03 4.806032011458738452e+03
1.309358371519941380e-03 4.847075962722456097e+03
1.321479804034877709e-03 4.888440568493074352e+03
1.333713451150042280e-03 4.930127656047116943e+03
1.346060351696157275e-03 4.972139047826711248e+03
1.358521554120957356e-03 5.014476561030409357e+03
1.371098116578223919e-03 5.057142007195975566e+03
1.383791107017631403e-03 5.100137191774967505e+03
1.396601603275437553e-03 5.143463913699193654e+03
1.409530693166011553e-03 5.187123964938891731e+03
1.422579474574199804e-03 5.231119130052534274e+03
1.435749055548557127e-03 5.275451185728312339e+03
1.449040554395442711e-03 5.320121900317143627e+03
1.462455099773972596e-03 5.365133033357145905e+03
1.475993830791865304e-03 5.410486335089584827e+03
1.489657897102175232e-03 5.456183545966191559e+03
1.503448459000905103e-03 5.502226396147768355e+03
1.517366687525546071e-03 5.548616604994144836e+03
1.531413764554507076e-03 5.595355880545255786e+03
1.545590882907478363e-03 5.642445918993485066e+03
1.559899246446726966e-03 5.689888404147122856e+03
1.574340070179313343e-03 5.737685006884831637e+03
1.588914580360270340e-03 5.785837384601290978e+03
1.603624014596735387e-03 5.834347180643747379e+03
1.618469621953033981e-03 5.883216023739576485e+03
1.633452663056750211e-03 5.932445527414778553e+03
1.648574410205778072e-03 5.982037289403410796e+03
1.663836147476349192e-03 6.031992891047843841e+03
1.679239170832083844e-03 6.082313896689941430e+03
1.694784788234027489e-03 6.133001853053006016e+03
1.710474319751721867e-03 6.184058288614591220e+03
1.726309097675306301e-03 6.235484712970106557e+03
1.742290466628638361e-03 6.287282616187154417e+03
1.758419783683479653e-03 6.339453468150698427e+03
1.774698418474738486e-03 6.391998717899012263e+03
1.791127753316762265e-03 6.444919792950281590e+03
1.807709183320723410e-03 6.498218098620083765e+03
1.824444116513092295e-03 6.551895017329609800e+03
1.841333973955187669e-03 6.605951907904553991e+03
1.858380189863862450e-03 6.660390104864954083e+03
1.875584211733278281e-03 6.715210917705647262e+03
1.892947500457826298e-03 6.770415630167646668e+03
1.910471530456186529e-03 6.826005499500313817e+03
